,,,,,,trt,C,C,C,C,T,T,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,C,T,T,T,T,T,T,T,T,T,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
,,,,,,lim,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,NA,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
,,,,,,cID,N1,N1,N1,N1,N2,N2,N2,N3,N3,N5,N5,N5,N1,N1,N1,N1,N1,N2,N2,N2,N2,N3,N3,N3,N3,N3,N5,N5,N5,N1,N1,N1,N1,N1,N2,N2,N3,N3,N3,N3,N1,N1,N1,N1,N1,N2,N2,N2,N2,N2,N3,N3,N3,N3,N5,N1,N2,N3,N3,N3,N3,N3,N5,N5,N5,N1,N1,N1,N1,N2,N2,N2,N2,N2,N3,N3,N3,N3,N5,N5,N5,N2,N2,N5,N5,NA,NA,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P3,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P3,P3,P3,P3,P3,P2,P2,P2,P2,P2,P4,P4,P4,P4,P5,P2,P2,P2,P5,P5,P5,P2,P2,P2,P2,P4,P4,P4,P5,P5,P5,P5,P2,P2,P2,P2,P2,P4,P4,P4,P4,P4,P5,P5,P5,P5,P5,P2,P2,P2,P2,P2,P4,P4,P4,P4,P4,P5,P5,P5,P5,P5,P2,P2,P2,P2,P2,P2,P4,P4,P4,P5,P5,P5,P2,P2,P2,P2,P4,P4,P4,P4,P5,P5,P5,P5,P5
T,N,N5,23,5,2,5N52,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,1,1,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N5,23,5,3,5N53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,0,0,1,1,1,NA,0,1,1,1,1
T,N,N2,72,12,1,12N21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N2,72,12,2,12N22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,1,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N2,72,12,3,12N23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N2,72,12,4,12N24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,1,1,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N2,72,12,5,12N25,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,0,1,1,1,1,2,1,0,1,1,1,0,0,0,0,0,0,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N3,72,12,1,12N31,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,NA,0,1,1,0,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N3,72,12,4,12N34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,1,1,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N5,72,12,1,12N51,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N5,72,12,2,12N52,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,1,1,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N5,72,12,3,12N53,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,1,1,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N5,72,12,4,12N54,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N5,72,12,5,12N55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N2,129,19,1,19N21,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,1,0,1,1,0,0,0,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,1,NA,NA,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,NA,1,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N2,129,19,3,19N23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N3,129,19,1,19N31,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,NA,1,1,1,1,0,1,1,0,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,NA,1,1,1,0,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N3,129,19,2,19N32,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N3,129,19,3,19N33,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,0,1,2,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,0,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,0,0,1,1,1,NA,0,1,1,1,1
T,N,N3,129,19,4,19N34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,1,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,NA,1,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N5,129,19,1,19N51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,1,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,NA,1,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N5,129,19,2,19N52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,0,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,1,NA,0,1,1,1,1
T,N,N5,129,19,3,19N53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,1,NA,1,1,1,1,1
T,N,N5,129,19,4,19N54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,0,0,1,1,1,NA,1,1,1,1,1
